3.2 	15.5 	40.0 
3.4 	20.5 	42.0 
3.6 	35.0 	50.0 
3.8 	30.5 	52.0 
4.0 	24.0 	40.0 
4.2 	20.5 	34.5 
4.4 	21.5 	34.5 
4.6 	21.0 	33.5 
4.8 	20.5 	32.5 
5.0 	22.0 	34.5 
5.2 	21.5 	34.5 
5.4 	16.5 	29.0 
5.6 	15.5 	27.5 
5.8 	15.5 	28.0 
6.0 	15.5 	25.0 
6.2 	15.5 	25.5 
6.4 	15.5 	24.5 
6.6 	15.5 	25.0 
6.8 	15.0 	25.0 
7.0 	15.5 	23.0 
7.2 	15.5 	24.5 
7.4 	16.5 	25.0 
7.6 	16.5 	24.5 
7.8 	17.5 	25.0 
8.0 	17.0 	23.5 
8.2 	18.0 	27.0 
8.4 	18.5 	26.5 
8.6 	17.5 	26.0 
8.8 	20.0 	29.0 
9.0 	20.0 	29.5 
9.2 	20.5 	31.5 
9.4 	20.0 	29.5 
9.6 	20.0 	29.5 
9.8 	20.0 	29.5 
10.0 	20.0 	30.0 
10.2 	19.5 	28.5 
