0.300 	1.70 	10.00 
0.500 	1.30 	6.30 
0.700 	0.80 	5.25 
0.900 	0.65 	4.70 
1.100 	0.69 	5.55 
1.300 	0.65 	5.10 
1.500 	0.78 	5.35 
1.700 	0.85 	6.35 
1.900 	0.90 	6.00 
2.100 	1.00 	7.20 
2.300 	1.10 	8.00 
2.500 	1.45 	8.70 
2.700 	1.40 	8.25 
2.900 	0.55 	1.95 
3.100 	1.55 	9.80 
3.300 	2.50 	3.60 
3.500 	3.05 	5.10 
3.700 	3.90 	5.80 
3.900 	2.35 	4.85 
4.100 	2.85 	4.00 
4.300 	2.90 	4.15 
4.500 	2.400 	3.500 
4.700 	2.080 	2.900 
4.900 	1.980 	2.860 
5.100 	1.980 	2.860 
5.300 	1.900 	2.650 
5.500 	1.860 	2.600 
5.700 	1.940 	2.650 
5.900 	1.980 	2.750 
6.100 	2.000 	2.760 
6.300 	2.200 	3.050 
6.500 	2.250 	3.120 
6.700 	2.150 	2.950 
6.900 	2.000 	2.760 
7.100 	2.000 	2.720 
7.300 	2.000 	2.700 
7.500 	2.100 	2.780 
7.700 	2.050 	2.700 
7.900 	2.110 	2.760 
8.100 	2.220 	2.900 
8.300 	2.200 	2.850 
8.500 	2.140 	2.780 
8.700 	2.180 	2.850 
8.900 	2.370 	3.100 
9.100 	2.450 	3.150 
9.300 	2.470 	3.160 
9.500 	2.600 	3.310 
9.700 	2.690 	3.400 
9.900 	2.800 	3.450 
10.100 	2.750 	3.460 
10.300 	2.650 	3.300 
10.500 	2.600 	3.280 
10.700 	2.650 	3.300 
10.900 	2.730 	3.500 
11.100 	2.780 	3.450 
11.300 	2.800 	3.510 
